v1,log_fc,ave_expr,t,p_value,adj_p_val,b,comparison,name,target,de
Q8NB78,0.326992273795431,-1.79770452629167,1.34507913874453,0.2253210777189,0.996386806613002,-4.67274587056612,OnlyComparison,KDM1B,ENSG00000165097,not sig
P14859,0.325878450483769,-1.85814593487461,1.41155244069356,0.205842698398718,0.996386806613002,-4.61188771138681,OnlyComparison,POU2F1,ENSG00000143190,not sig
Q71U36,0.32477778566106,0.482591155753309,1.23259781786376,0.26204028346442,0.996386806613002,-4.77266076328907,OnlyComparison,TUBA1A,ENSG00000167552,not sig
P0DPH8,0.32477778566106,0.482591155753309,1.23259781786376,0.26204028346442,0.996386806613002,-4.77266076328907,OnlyComparison,TUBA3D,ENSG00000075886,not sig
P0DPH7,0.32477778566106,0.482591155753309,1.23259781786376,0.26204028346442,0.996386806613002,-4.77266076328907,OnlyComparison,TUBA3C,ENSG00000198033,not sig
Q6PEY2,0.32477778566106,0.482591155753309,1.23259781786376,0.26204028346442,0.996386806613002,-4.77266076328907,OnlyComparison,TUBA3E,ENSG00000152086,not sig
Q16576,0.324571625614038,0.818758743769388,2.68378234099825,0.0349135645447355,0.996386806613002,-3.37841574130497,OnlyComparison,RBBP7,ENSG00000102054,upregulated
P32121,0.323670780472842,-0.909625543249843,1.56697129808986,0.16616324295881,0.996386806613002,-4.46543167816303,OnlyComparison,ARRB2,ENSG00000141480,not sig
Q13642,0.323261725999608,0.203602260800303,1.79628644894885,0.120573008639566,0.996386806613002,-4.24211201331192,OnlyComparison,FHL1,ENSG00000022267,not sig
Q99942,0.319809408259132,-1.3121754194249,1.45244399131347,0.194632527497857,0.996386806613002,-4.57387416168162,OnlyComparison,RNF5,ENSG00000204308,not sig
Q8N5G2,0.310895162748099,-0.995616012987493,1.50175546845537,0.181860689468718,0.996386806613002,-4.52751373682427,OnlyComparison,MACO1,ENSG00000204178,not sig
Q6XQN6,0.310303922959707,-1.07908952226598,1.36313846911364,0.219871523136586,0.996386806613002,-4.6563341393801,OnlyComparison,NAPRT,ENSG00000147813,not sig
P06454,0.309106765870445,0.934853039481089,1.38632238870242,0.213049264287203,0.996386806613002,-4.63512954096988,OnlyComparison,PTMA,ENSG00000187514,not sig
Q8TD30,0.307843155418409,-1.33624618235144,1.22371964440521,0.265149366301651,0.996386806613002,-4.78036312403086,OnlyComparison,GPT2,ENSG00000166123,not sig
P16422,0.305121985964974,-1.50322727834957,1.10899698575872,0.308244104255878,0.996386806613002,-4.8771324458329,OnlyComparison,EPCAM,ENSG00000119888,not sig
Q15649,0.30351723176033,-1.45167152882332,1.50330667132878,0.181471792061165,0.996386806613002,-4.52604680134779,OnlyComparison,ZNHIT3,ENSG00000273611,not sig
P19971,0.30208854465905,-2.08475403986232,1.5347363352396,0.173756818181109,0.996386806613002,-4.49621951759542,OnlyComparison,TYMP,ENSG00000025708,not sig
P08247,0.300353523595923,0.632675887669744,0.985904365022541,0.360770995088995,0.996386806613002,-4.97451560162024,OnlyComparison,SYP,ENSG00000102003,not sig
P10620,0.297036032777088,-0.43986122921646,1.38111238805547,0.214565553513561,0.996386806613002,-4.6399077181448,OnlyComparison,MGST1,ENSG00000008394,not sig
Q96PX1,0.292899107551187,-0.842640883762076,1.30142095141129,0.238996023424853,0.996386806613002,-4.7120162978096,OnlyComparison,RNF157,ENSG00000141576,not sig
O60291,0.292899107551187,-0.842640883762076,1.30142095141129,0.238996023424853,0.996386806613002,-4.7120162978096,OnlyComparison,MGRN1,ENSG00000102858,not sig
Q9BTE3,0.292135799082131,-0.71095982349301,1.64740558733405,0.148557110511825,0.996386806613002,-4.38785138974018,OnlyComparison,MCMBP,ENSG00000197771,not sig
P51970,0.291293632679041,-1.02384432024211,1.06656853200377,0.325597042459256,0.996386806613002,-4.91150908077444,OnlyComparison,NDUFA8,ENSG00000119421,not sig
P52757,0.290377473736907,-0.990204639662576,1.47798283621324,0.187918055409535,0.996386806613002,-4.54993096542995,OnlyComparison,CHN2,ENSG00000106069,not sig
Q9H7Z6,0.287647669286376,-0.406928362352556,1.45920080292766,0.192834934231326,0.996386806613002,-4.56755405683205,OnlyComparison,KAT8,ENSG00000103510,not sig
Q9NS18,0.287443305206458,-0.829559797418779,2.03066248803237,0.0866600205234483,0.996386806613002,-4.01002383998081,OnlyComparison,GLRX2,ENSG00000023572,not sig
Q86T03,0.285338577519572,0.512172151650289,1.14685676908215,0.293413256351964,0.996386806613002,-4.84578946515027,OnlyComparison,PIP4P1,ENSG00000165782,not sig
P07602,0.283404733120159,1.66468890598357,1.51186228218337,0.179340678981539,0.996386806613002,-4.51794703291808,OnlyComparison,PSAP,ENSG00000197746,not sig
P36954,0.28249191321191,-0.180458575527487,1.60266338550317,0.158119787036364,0.996386806613002,-4.43113044754995,OnlyComparison,POLR2I,ENSG00000105258,not sig
O75056,0.280642247464041,-0.833397382345274,4.47640104994845,0.00380117250901553,0.996386806613002,-2.01683511582768,OnlyComparison,SDC3,ENSG00000162512,upregulated
P62877,0.277709027545816,-0.645002908063832,0.667728896279819,0.52816385063047,0.996386806613002,-5.18715461600319,OnlyComparison,RBX1,ENSG00000100387,not sig
Q99614,0.277684663484103,0.258888695777401,1.45514276367374,0.19391270394833,0.996386806613002,-4.5713510944577,OnlyComparison,TTC1,ENSG00000113312,not sig
Q8TBP6,0.275797330248037,-0.710392563147396,3.08959464348001,0.0202831796524564,0.996386806613002,-3.01608317284918,OnlyComparison,SLC25A40,ENSG00000075303,upregulated
P80723,0.274974264419937,2.06793135155863,1.67640603278604,0.142656188837737,0.996386806613002,-4.35965151181332,OnlyComparison,BASP1,ENSG00000176788,not sig
Q9UIK5,0.274223757285982,0.550253006474162,1.0650596879106,0.326228577771691,0.996386806613002,-4.91271644901884,OnlyComparison,TMEFF2,ENSG00000144339,not sig
Q15796,0.273784286428569,-0.962649594023509,1.52441531778442,0.176255944451746,0.996386806613002,-4.50603597690269,OnlyComparison,SMAD2,ENSG00000175387,not sig
P84022,0.273784286428569,-0.962649594023509,1.52441531778442,0.176255944451746,0.996386806613002,-4.50603597690269,OnlyComparison,SMAD3,ENSG00000166949,not sig
P61289,0.271895308385775,0.223959996626631,1.55768074029494,0.168319272164672,0.996386806613002,-4.47432455419146,OnlyComparison,PSME3,ENSG00000131467,not sig
Q3ZCQ8,0.271053158715282,0.160400279009622,1.30782262376315,0.236945879639926,0.996386806613002,-4.7062951150915,OnlyComparison,TIMM50,ENSG00000105197,not sig
P46776,0.26849772872302,0.732965442902125,0.947480205287595,0.378549784985201,0.996386806613002,-5.00336790381896,OnlyComparison,RPL27A,ENSG00000166441,not sig
Q01804,0.26806235403802,-1.48149466881124,0.844597222765322,0.429453831009774,0.996386806613002,-5.07659486670277,OnlyComparison,OTUD4,ENSG00000164164,not sig
P55145,0.267541087495563,0.603504513194406,1.23841583383773,0.260019993877851,0.996386806613002,-4.76759776730132,OnlyComparison,MANF,ENSG00000145050,not sig
Q9Y3A3,0.264232715831635,-0.786829883963656,1.59741036542007,0.159280066167713,0.996386806613002,-4.43619187716525,OnlyComparison,MOB4,ENSG00000115540,not sig
Q8NEW0,0.263281206961069,-1.60416688042336,1.93696301662108,0.0988996730021777,0.996386806613002,-4.1029492008306,OnlyComparison,SLC30A7,ENSG00000162695,not sig
O75167,0.262403868283826,-0.788831629830253,1.08400431952735,0.318371338707395,0.996386806613002,-4.89748078151162,OnlyComparison,PHACTR2,ENSG00000112419,not sig
Q7Z4Q2,0.262290638072544,-0.947746309350089,1.45464104175729,0.194046339288459,0.996386806613002,-4.57182028055412,OnlyComparison,HEATR3,ENSG00000155393,not sig
Q13438,0.262136123413871,0.0422099477452164,3.56229149598382,0.0110929239239022,0.996386806613002,-2.63331354270622,OnlyComparison,OS9,ENSG00000135506,upregulated
P46736,0.262128405700925,-0.306151830402585,1.6042338424952,0.157774463003197,0.996386806613002,-4.4296164232174,OnlyComparison,BRCC3,ENSG00000185515,not sig
Q9ULJ6,0.261034923244637,0.0456707167259005,1.21805442430575,0.267149885989328,0.996386806613002,-4.7852629350185,OnlyComparison,ZMIZ1,ENSG00000108175,not sig
Q8NF64,0.261034923244637,0.0456707167259005,1.21805442430575,0.267149885989328,0.996386806613002,-4.7852629350185,OnlyComparison,ZMIZ2,ENSG00000122515,not sig
Q99519,0.260414319344755,-1.10429820963626,1.23913619903768,0.259770790343056,0.996386806613002,-4.76697003884511,OnlyComparison,NEU1,ENSG00000204386,not sig
Q96LJ7,0.259056831738099,0.171956897418212,1.6303641470712,0.15213262763675,0.996386806613002,-4.40436989610693,OnlyComparison,DHRS1,ENSG00000157379,not sig
P57721,0.258934242993567,-0.582931052100599,1.01378678060286,0.3482855331164,0.996386806613002,-4.95309975030518,OnlyComparison,PCBP3,ENSG00000183570,not sig
Q14644,0.257889881503291,-1.8998746929847,1.09595885548818,0.313493573729807,0.996386806613002,-4.8877825271793,OnlyComparison,RASA3,ENSG00000185989,not sig
P53667,0.25330187677786,-1.08866734665093,1.24356669947283,0.25824265000869,0.996386806613002,-4.76310520832745,OnlyComparison,LIMK1,ENSG00000106683,not sig
Q8WX77,0.252508238467946,-0.405591812876234,0.936645575331601,0.383683621320322,0.996386806613002,-5.01136083651139,OnlyComparison,IGFBPL1,ENSG00000137142,not sig
O14545,0.251191097273941,-0.708148273307777,1.60954148959337,0.156612655884222,0.996386806613002,-4.42449665558485,OnlyComparison,TRAFD1,ENSG00000135148,not sig
Q8NAV1,0.250884522271963,-0.178805086007623,0.976243320987726,0.365178477619795,0.996386806613002,-4.98184310963383,OnlyComparison,PRPF38A,ENSG00000134748,not sig
Q92994,0.250768415463462,-1.02193856987893,1.16230722610616,0.287535178666692,0.996386806613002,-4.83282570523784,OnlyComparison,BRF1,ENSG00000185024,not sig
Q86UY6,0.250207323949727,-1.45226670780277,1.52412383372952,0.176327008687379,0.996386806613002,-4.50631290967315,OnlyComparison,NAA40,ENSG00000110583,not sig
P54762,0.250151255648036,-1.0914656434063,3.10745988575866,0.0198140128068802,0.996386806613002,-3.00082180304501,OnlyComparison,EPHB1,ENSG00000154928,upregulated
Q12933,0.249798565490732,-0.65532846902358,4.60606318066862,0.00329856616545866,0.996386806613002,-1.94179708413704,OnlyComparison,TRAF2,ENSG00000127191,upregulated
Q9Y2R5,0.248893229638688,0.0557606421453173,1.25818761324203,0.253254980680944,0.996386806613002,-4.75030180828853,OnlyComparison,MRPS17,ENSG00000239789,not sig
Q96B54,0.248746072692646,0.336050105613984,1.51958089212301,0.177438041022755,0.996386806613002,-4.51062689087751,OnlyComparison,ZNF428,ENSG00000131116,not sig
P41567,0.248397463390112,0.31842962060271,2.38126296971068,0.0529880053103297,0.996386806613002,-3.66554683115493,OnlyComparison,EIF1,ENSG00000173812,not sig
O60739,0.248397463390112,0.31842962060271,2.38126296971068,0.0529880053103297,0.996386806613002,-3.66554683115493,OnlyComparison,EIF1B,ENSG00000114784,not sig
P60002,0.248158646941193,-0.876052642029436,1.24603604738605,0.2573943289109,0.996386806613002,-4.76094810549321,OnlyComparison,ELOF1,ENSG00000130165,not sig
P83876,0.247172168115322,-0.258103198599848,1.65307945239751,0.147384547090432,0.996386806613002,-4.38234277314139,OnlyComparison,TXNL4A,ENSG00000141759,not sig
Q9C0E8,0.245728825639501,-0.680578671130563,1.01656151697812,0.347062047237163,0.996386806613002,-4.95094710714739,OnlyComparison,LNPK,ENSG00000144320,not sig
Q9H1B7,0.24546444947713,-0.097870038916309,1.2934091128321,0.241583881861602,0.996386806613002,-4.71915793819643,OnlyComparison,IRF2BPL,ENSG00000119669,not sig
Q9P287,0.24345823092097,-0.903256128348717,0.994015166224592,0.357103142630619,0.996386806613002,-4.96832666158435,OnlyComparison,BCCIP,ENSG00000107949,not sig
Q12986,0.242917197708794,-1.66783897310026,0.668825675326251,0.527509027778492,0.996386806613002,-5.1865341072351,OnlyComparison,NFX1,ENSG00000086102,not sig
O43567,0.240812471302567,-0.327618674740804,1.33249911585013,0.229188247545986,0.996386806613002,-4.68412145209293,OnlyComparison,RNF13,ENSG00000082996,not sig
Q9BV81,0.239821838406235,-0.222642648381724,1.64546360565822,0.148960482705924,0.996386806613002,-4.38973581313957,OnlyComparison,EMC6,ENSG00000127774,not sig
Q92896,0.239431924594877,1.22184764449337,1.39897748406156,0.209406448594597,0.996386806613002,-4.62349277628144,OnlyComparison,GLG1,ENSG00000090863,not sig
Q92560,0.237394447446448,-2.21328272715683,2.68318877232754,0.0349418330329597,0.996386806613002,-3.37896631720846,OnlyComparison,BAP1,ENSG00000163930,upregulated
Q96F86,0.236741337824424,-0.136751377950779,1.24590501275598,0.257439283731548,0.996386806613002,-4.76106262532325,OnlyComparison,EDC3,ENSG00000179151,not sig
Q9GZT4,0.23620012178252,-0.314904609311747,1.59970636294183,0.158771942218199,0.996386806613002,-4.43398015863045,OnlyComparison,SRR,ENSG00000167720,not sig
